,Wikicode,Language name(in English),Language name(native),Speakers(L1 & L2),Articles,Articles per1000 speakers,Speakersper article,Depth,Users,Activeusers,Admins,% ofadmins
29,[hsb:],Upper Sorbian,Hornjoserbsce,"40,000","13,964",349.10,2.8645,26.1,"26,099",29,4,13.79
30,[mrj:],Hill Mari,Кырык Мары / Kyryk Mary,"30,000","10,431",347.70,2.8760,4.8,"11,392",18,1,5.56
31,[nn:],Norwegian (Nynorsk),Nynorsk,"500,000","172,647",345.29,2.8961,14.7,"139,876",153,16,10.46
32,[sco:],Scots,Scots,"100,000","34,437",344.37,2.9039,58.8,"113,822",72,3,4.17
33,[se:],Northern Sami,Sámegiella,"25,000","7,894",315.76,3.1670,40.1,"30,691",26,5,19.23
34,[mwl:],Mirandese,Mirandés,"15,000","4,261",284.07,3.5203,22.4,"14,010",24,1,4.17
35,[sv:],Swedish,Svenska,"9,197,090","2,599,118",282.60,3.5385,18.0,"931,740","2,058",65,3.16
36,[gd:],Scottish Gaelic,Gàidhlig,"63,130","15,985",253.21,3.9493,18.8,"29,485",29,5,17.24
37,[et:],Estonian,Eesti,"1,105,400","249,566",225.77,4.4293,21.1,"199,910",631,34,5.39
38,[ga:],Irish,Gaeilge,"276,310","61,194",221.47,4.5153,6.7,"63,854",110,7,6.36
39,[fo:],Faroese,Føroyskt,"66,150","14,135",213.68,4.6799,33.7,"31,526",40,3,7.50
40,[bpy:],Bishnupriya Manipuri,বিষ্ণুপ্রিয়া মণিপুরী,"117,500","25,087",213.51,4.6837,32.9,"26,494",26,2,7.69
41,[myv:],Erzya,Эрзянь / Erzjanj Kelj,"37,000","7,868",212.65,4.7026,41.4,"13,752",23,4,17.39
42,[lb:],Luxembourgish,Lëtzebuergesch,"336,710","64,247",190.81,5.2409,25.6,"63,813",88,7,7.95
43,[eo:],Esperanto,Esperanto,"2,000,000","362,543",181.27,5.5166,17.1,"230,858",318,12,3.77
44,[is:],Icelandic,Íslenska,"330,000","59,475",180.23,5.5485,31.3,"102,100",141,13,9.22
45,[no:],Norwegian (Bokmål),Norsk (Bokmål),"4,300,000","639,955",148.83,6.7192,47.9,"627,871","3,169",38,1.20
46,[olo:],Livvi-Karelian,livvinkarjala,"31,000","4,475",144.35,6.9274,10.4,"7,610",19,2,10.53
47,[nv:],Navajo,Diné bizaad,"169,359","22,657",133.78,7.4749,3.5,"18,563",20,2,10.00
48,[fy:],West Frisian,Frysk,"467,000","54,709",117.15,8.5361,29.5,"51,528",85,8,9.41
49,[szl:],Silesian,Ślůnski,"510,000","58,498",114.70,8.7182,0.4,"26,313",36,3,8.33
50,[fi:],Finnish,Suomi,"5,392,180","585,037",108.50,9.2168,38.2,"590,809","1,562",33,2.11
51,[ca:],Catalan,Català,"7,200,000","764,794",106.22,9.4143,40.5,"500,473","1,447",26,1.80
52,[mk:],Macedonian,Македонски,"1,407,810","147,810",104.99,9.5245,76.2,"120,187",258,12,4.65
53,[nl:],Dutch,Nederlands,"21,944,690","2,174,162",99.07,10.0934,19.3,"1,378,051","3,580",30,0.84
54,[tt:],Tatar,Татарча,"5,406,110","502,298",92.91,10.7628,2.3,"53,743",71,6,8.45
55,[gl:],Galician,Galego,"2,355,000","217,043",92.16,10.8504,27.4,"150,507",241,6,2.49
56,[sl:],Slovenian,Slovenščina,"2,085,160","187,815",90.07,11.1022,31.9,"237,730",359,22,6.13
57,[lv:],Latvian,Latviešu,"1,552,260","131,364",84.63,11.8165,72.4,"127,035",292,14,4.79
58,[new:],Newar,नेवारी,"861,000","72,465",84.16,11.8816,8.7,"28,939",28,2,7.14
59,[sr:],Serbian,Српски,"8,957,906","698,843",78.01,12.8182,171.4,"395,595","2,644",15,0.57
60,[fiu-vro:],Võro,Võro,"87,000","6,733",77.39,12.9214,11.5,"15,166",34,4,11.76
61,[lt:],Lithuanian,Lietuvių,"3,001,860","220,318",73.39,13.6251,30.2,"193,115",323,9,2.79
62,[he:],Hebrew,עברית,"5,302,770","366,789",69.17,14.4573,270.8,"1,186,620","3,183",30,0.94
63,[rm:],Romansh,Rumantsch,"60,000","3,778",62.97,15.8814,42.4,"21,382",20,3,15.00
64,[xmf:],Mingrelian,მარგალური / Margaluri,"344,000","21,605",62.81,15.9222,4.3,"20,670",33,4,12.12
